probe_type,probe_id,action,lead_dist,probe_block_trial,notes
-4,1,U,4,1,"n=64 probe blocks per session; 16 reps each probe identity, 32 reps by probe type"
-4,1,R,4,2,"onpath_probe_code, offpath_probe_code = -4, -5"
-4,1,R,4,3,
-4,1,U,4,4,
-4,1,all,4,5,
-4,2,U,9,1,
-4,2,R,9,2,
-4,2,R,9,3,
-4,2,D,9,4,
-4,2,R,9,5,
-4,2,R,9,6,
-4,2,U,9,7,
-4,2,U,9,8,
-4,2,U,9,9,
-4,2,all,9,10,
-5,1,L,4,1,
-5,1,L,4,2,
-5,1,U,4,3,
-5,1,U,4,4,
-5,1,all,4,5,
-5,2,D,9,1,
-5,2,D,9,2,
-5,2,D,9,3,
-5,2,L,9,4,
-5,2,L,9,5,
-5,2,U,9,6,
-5,2,U,9,7,
-5,2,L,9,8,
-5,2,L,9,9,
-5,2,all,9,10,